9713 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.business.write.manage.impl.ShippingAddressWriteManageImpl]: ResourceElement for private com.people2000.user.business.write.dao.UserAddressDAOWrite com.people2000.user.business.write.manage.impl.ShippingAddressWriteManageImpl.userAddressDAOWrite
9713 DEBUG [2018-06-25 10:58:39]  Eagerly caching bean 'shippingAddressWriteManage' to allow for resolving potential circular references
9715 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'shippingAddressWriteManage': ResourceElement for private com.people2000.user.business.write.dao.UserAddressDAOWrite com.people2000.user.business.write.manage.impl.ShippingAddressWriteManageImpl.userAddressDAOWrite
9715 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userAddressDAOWrite'
9715 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9715 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9715 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9715 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9715 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9715 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9716 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9716 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9716 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9716 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9716 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9716 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9718 DEBUG [2018-06-25 10:58:39]  Creating implicit proxy for bean 'shippingAddressWriteManage' with 0 common interceptors and 4 specific interceptors
9718 DEBUG [2018-06-25 10:58:39]  Creating JDK dynamic proxy: target source is SingletonTargetSource for target object [com.people2000.user.business.write.manage.impl.ShippingAddressWriteManageImpl@2c7b5824]
9720 DEBUG [2018-06-25 10:58:39]  Finished creating instance of bean 'shippingAddressWriteManage'
9720 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'smsManageDahantc'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'smsManage'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'unionLoginManage'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userAccountWriteManage'
9721 DEBUG [2018-06-25 10:58:39]  Creating shared instance of singleton bean 'userAPIWriteManage'
9721 DEBUG [2018-06-25 10:58:39]  Creating instance of bean 'userAPIWriteManage'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9721 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9723 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.business.write.manage.impl.UserAPIWriteManageImpl]: ResourceElement for private com.people2000.user.business.write.dao.ext.UserDAOWrite2 com.people2000.user.business.write.manage.impl.UserAPIWriteManageImpl.userDAOWrite
9723 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.business.write.manage.impl.UserAPIWriteManageImpl]: ResourceElement for private com.people2000.user.business.write.dao.ext.UserActionLogDAOWrite2 com.people2000.user.business.write.manage.impl.UserAPIWriteManageImpl.userActionLogDAOWrite
9723 DEBUG [2018-06-25 10:58:39]  Eagerly caching bean 'userAPIWriteManage' to allow for resolving potential circular references
9724 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'userAPIWriteManage': ResourceElement for private com.people2000.user.business.write.dao.ext.UserDAOWrite2 com.people2000.user.business.write.manage.impl.UserAPIWriteManageImpl.userDAOWrite
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userDAOWrite'
9725 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'userAPIWriteManage': ResourceElement for private com.people2000.user.business.write.dao.ext.UserActionLogDAOWrite2 com.people2000.user.business.write.manage.impl.UserAPIWriteManageImpl.userActionLogDAOWrite
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userActionLogDAOWrite'
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9725 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9726 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9726 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
